ID,Usia,Status,Kelamin,Memiliki_Mobil,Penghasilan,Beli_Mobil,Kluster_Beli_Mobil
187,41.0,2,0,1.0,290.0,1,0
188,52.0,3,0,1.0,400.0,1,0
189,60.0,0,1,1.0,190.0,0,1
190,25.0,0,0,0.0,125.0,0,1
191,31.0,0,1,0.0,190.0,0,1
192,38.0,2,0,1.0,305.0,1,0
193,37.0,2,0,1.0,290.0,1,0
194,28.0,0,0,0.0,195.0,1,0
195,46.0,1,0,1.0,250.0,1,0
196,42.0,2,0,1.0,290.0,1,0
197,40.0,1,0,0.0,240.0,1,0
198,30.0,0,0,1.0,190.0,1,0
199,28.0,0,0,0.0,170.0,0,1
200,35.0,1,1,0.0,190.0,0,1
201,43.532,0,0,0.0,100.0,0,1
202,37.0,1,1,1.0,240.0,1,0
203,42.0,2,0,1.0,250.0,1,0
204,26.0,2,0,1.0,125.0,0,1
205,31.0,2,0,1.0,180.0,0,1
206,39.0,2,0,0.0,198.0,0,1
207,52.0,2,1,1.0,400.0,1,0
208,49.0,2,1,1.0,250.0,0,1
209,44.0,2,0,1.0,290.0,1,0
210,45.0,2,0,0.0,200.0,0,1
211,36.0,2,1,1.0,250.0,0,1
212,31.0,1,0,1.0,220.0,0,1
213,32.0,0,1,0.0,180.0,1,0
214,28.0,0,0,0.0,150.0,0,1
215,30.0,1,1,0.0,100.0,0,1
216,50.0,3,1,1.0,340.0,1,0
217,41.0,1,1,0.0,280.0,0,1
218,48.0,0,1,0.0,390.0,0,1
219,28.0,0,0,1.0,180.0,0,1
220,49.0,1,0,1.0,270.0,1,0
221,31.0,0,0,0.0,200.0,0,1
222,38.0,1,1,0.0,250.0,1,0
223,35.0,2,0,1.0,300.0,1,0
224,26.0,0,1,0.0,400.0,1,0
225,28.0,0,1,0.0,120.0,0,1
226,40.0,1,0,0.0,190.0,0,1
227,50.0,2,1,2.0,450.0,1,0
228,43.532,2,1,0.0,100.0,0,1
229,34.0,2,0,1.0,215.0,0,1
230,46.0,2,0,2.0,400.0,1,0
231,39.0,2,0,1.0,300.0,1,0
232,33.0,3,1,0.0,200.0,0,1
233,43.0,2,0,1.0,290.0,0,1
234,46.0,3,1,2.0,350.0,1,0
235,42.0,0,0,0.0,190.0,0,1
236,44.0,1,1,1.0,250.0,1,0
237,39.0,3,1,0.0,190.0,0,1
238,29.0,0,0,1.0,230.0,1,0
239,24.0,0,0,0.0,150.0,0,1
240,26.0,0,0,0.0,170.0,0,1
241,35.0,1,0,1.0,260.0,1,0
242,59.0,3,0,2.0,450.0,1,0
243,54.0,2,1,3.0,420.0,1,0
244,52.0,2,1,2.0,200.0,0,1
245,25.0,1,0,0.0,160.0,0,1
246,34.0,0,1,1.0,200.0,1,0
247,40.0,1,1,1.0,200.0,0,1
248,45.0,1,0,1.0,300.0,1,0
249,56.0,2,0,1.0,400.0,1,0
250,29.0,2,1,2.0,350.0,1,0
251,65.0,3,0,0.0,163.0,0,1
252,33.0,1,0,0.0,260.0,1,0
253,56.0,2,0,2.0,412.0,1,0
254,40.0,2,0,0.0,178.0,0,1
255,38.0,1,0,2.0,217.0,0,1
256,56.0,2,1,0.0,141.0,0,1
257,39.0,0,1,1.0,206.0,0,1
258,28.0,1,1,1.0,391.0,1,0
259,59.0,0,1,2.0,352.0,1,0
260,25.0,0,1,2.0,187.0,0,1
261,39.0,2,1,2.0,325.0,1,0
262,56.0,3,0,0.0,288.0,1,0
263,28.0,3,1,2.0,247.0,1,0
264,39.0,1,1,2.0,370.0,1,0
265,53.0,3,1,0.0,217.0,0,1
266,46.0,1,0,2.0,191.0,0,1
267,52.0,3,0,2.0,332.0,1,0
268,26.0,3,0,2.0,378.0,1,0
269,33.0,1,0,0.0,281.0,1,0
270,52.0,2,1,2.0,241.0,1,0
271,27.0,1,0,2.0,401.0,1,0
272,44.0,0,1,1.0,314.0,1,0
273,54.0,3,0,0.0,416.0,1,0
274,60.0,0,1,0.0,253.0,1,0
275,26.0,2,0,1.0,177.0,0,1
276,58.0,3,1,0.0,440.0,1,0
277,31.0,1,0,0.0,260.0,1,0
278,52.0,0,0,0.0,226.0,1,0
279,46.0,2,0,2.0,316.0,1,0
280,54.0,2,1,1.0,358.0,1,0
281,25.0,1,0,1.0,249.0,1,0
282,28.0,0,1,0.0,447.0,1,0
283,32.0,1,0,1.0,395.0,1,0
284,43.0,0,1,2.0,197.0,0,1
285,61.0,3,0,2.0,242.0,1,0
286,64.0,2,0,1.0,284.0,1,0
287,28.0,2,1,1.0,427.0,1,0
288,38.0,0,1,0.0,173.0,0,1
289,40.0,0,0,0.0,394.0,1,0
290,51.0,1,0,2.0,308.0,1,0
291,55.0,1,1,1.0,153.0,0,1
292,53.0,2,1,0.0,288.0,1,0
293,30.0,3,0,2.0,377.0,1,0
294,58.0,0,1,0.0,345.0,1,0
295,43.0,1,1,2.0,152.0,0,1
296,55.0,0,1,2.0,270.09,0,1
297,47.0,3,1,1.0,400.0,1,0
298,33.0,0,1,1.0,183.0,0,1
299,25.0,2,0,0.0,332.0,1,0
300,51.0,0,1,1.0,324.0,1,0
301,57.0,2,0,1.0,227.0,1,0
302,46.0,2,0,2.0,309.0,1,0
303,27.0,0,0,1.0,338.0,1,0
304,59.0,3,0,1.0,157.0,0,1
305,54.0,1,1,0.0,448.0,1,0
306,44.0,1,1,2.0,261.0,1,0
307,29.0,0,1,0.0,412.0,1,0
308,54.0,3,0,2.0,247.0,1,0
309,35.0,3,1,2.0,174.0,0,1
310,28.0,2,0,1.0,428.0,1,0
311,64.0,3,0,1.0,307.0,1,0
312,60.0,3,0,2.0,328.0,1,0
313,29.0,1,0,0.0,249.0,1,0
314,47.0,3,1,1.0,396.0,1,0
315,60.0,3,0,1.0,276.0,1,0
316,38.0,3,1,1.0,200.0,0,1
317,55.0,2,0,2.0,205.0,0,1
318,34.0,1,0,1.0,318.0,1,0
319,27.0,0,0,1.0,178.0,0,1
320,59.0,1,0,0.0,141.0,0,1
321,33.0,1,0,1.0,370.0,1,0
322,64.0,3,0,1.0,427.0,1,0
323,44.0,2,0,1.0,128.0,0,1
324,49.0,2,1,1.0,247.0,1,0
325,53.0,2,1,2.0,439.0,1,0
326,61.0,3,0,2.0,398.0,1,0
327,30.0,1,0,0.0,198.0,0,1
328,52.0,2,1,1.0,432.0,1,0
329,38.0,0,1,1.0,375.0,1,0
330,44.0,3,0,0.0,182.0,0,1
331,45.0,1,0,2.0,415.0,1,0
332,45.0,1,1,1.0,148.0,0,1
333,46.0,0,1,0.0,368.0,1,0
334,49.0,2,1,2.0,231.0,1,0
335,32.0,1,0,2.0,265.0,1,0
336,24.0,0,1,1.0,188.0,0,1
337,59.0,1,1,1.0,158.0,0,1
338,59.0,2,1,1.0,219.0,0,1
339,48.0,0,1,1.0,212.0,0,1
340,54.0,2,1,0.0,375.0,1,0
341,39.0,3,1,1.0,219.0,0,1
342,59.0,1,0,2.0,191.0,0,1
343,38.0,2,0,2.0,450.0,1,0
344,65.0,1,1,0.0,183.0,0,1
345,58.0,0,0,1.0,265.0,1,0
346,25.0,0,0,2.0,416.0,1,0
347,62.0,0,1,0.0,254.0,1,0
348,45.0,0,1,1.0,228.0,1,0
349,37.0,0,1,1.0,146.0,0,1
350,43.0,1,0,1.0,221.0,1,0
351,49.0,3,1,1.0,335.0,1,0
352,47.0,1,1,2.0,332.0,1,0
353,60.0,1,0,0.0,274.0,1,0
354,43.0,0,0,1.0,276.0,1,0
355,56.0,2,1,0.0,176.0,0,1
356,43.0,2,0,0.0,316.0,1,0
357,56.0,1,0,2.0,161.0,0,1
358,65.0,1,1,2.0,227.0,1,0
359,44.0,2,0,1.0,315.0,1,0
360,60.0,2,1,2.0,359.0,1,0
361,61.0,0,1,1.0,282.0,1,0
362,47.0,2,0,1.0,389.0,1,0
363,61.0,1,0,2.0,129.0,0,1
364,40.0,3,1,1.0,282.0,1,0
365,55.0,1,0,1.0,373.0,1,0
366,52.0,0,1,2.0,388.0,1,0
367,38.0,0,0,2.0,332.0,1,0
368,43.0,2,0,2.0,176.0,0,1
369,45.0,1,0,2.0,284.0,1,0
370,47.0,2,0,1.0,171.0,0,1
371,64.0,1,1,0.0,248.0,1,0
372,40.0,0,1,1.0,263.0,1,0
373,26.0,3,1,2.0,129.0,0,1
374,48.0,2,1,0.0,173.0,0,1
375,25.0,0,1,1.0,155.0,0,1
376,54.0,3,1,0.0,147.0,0,1
377,30.0,1,0,1.0,205.0,0,1
378,57.0,2,0,0.0,139.0,0,1
379,53.0,1,1,0.0,346.0,1,0
380,42.0,3,1,2.0,425.0,1,0
381,51.0,1,1,0.0,434.0,1,0
382,32.0,2,0,2.0,142.0,0,1
383,59.0,2,1,1.0,278.0,1,0
384,36.0,1,1,2.0,296.0,1,0
385,39.0,1,1,1.0,127.0,0,1
386,48.0,3,1,0.0,258.0,1,0
387,61.0,0,1,1.0,247.0,1,0
388,37.0,3,1,0.0,270.09,0,1
389,47.0,0,0,0.0,201.0,0,1
390,65.0,2,1,1.0,360.0,1,0
391,34.0,1,0,0.0,153.0,0,1
392,46.0,3,0,0.0,330.0,1,0
393,31.0,3,0,2.0,379.0,1,0
394,35.0,1,1,0.0,286.0,1,0
395,30.0,2,0,1.0,136.0,0,1
396,50.0,3,0,2.0,365.0,1,0
397,31.0,1,0,2.0,372.0,1,0
398,62.0,0,1,2.0,254.0,1,0
399,56.0,3,1,0.0,342.0,1,0
400,45.0,2,0,0.0,257.0,1,0
401,43.0,1,0,0.0,322.0,1,0
402,27.0,3,1,0.0,163.0,0,1
403,61.0,1,0,0.0,146.0,0,1
404,41.0,3,1,1.0,408.0,1,0
405,46.0,0,0,2.0,288.0,1,0
406,49.0,1,1,2.0,306.0,1,0
407,62.0,0,1,0.0,230.0,1,0
408,46.0,2,1,1.0,395.0,1,0
409,26.0,0,0,2.0,442.0,1,0
410,56.0,1,0,0.0,193.0,0,1
411,43.0,1,0,1.0,301.0,1,0
412,48.0,0,1,0.0,439.0,1,0
413,29.0,2,0,0.0,285.0,1,0
414,25.0,2,0,2.0,273.0,1,0
415,35.0,0,0,1.0,228.0,1,0
416,27.0,3,1,2.0,383.0,1,0
417,32.0,1,1,0.0,160.0,0,1
418,35.0,2,1,1.0,157.0,0,1
419,45.0,3,1,1.0,270.09,0,1
420,37.0,2,0,0.0,186.0,0,1
421,58.0,1,1,0.0,415.0,1,0
422,54.0,1,1,0.0,340.0,1,0
423,52.0,0,1,0.0,156.0,0,1
424,24.0,0,0,0.0,374.0,1,0
425,48.0,0,1,0.0,203.0,0,1
426,52.0,0,0,1.0,417.0,1,0
427,28.0,0,0,1.0,184.0,0,1
428,64.0,1,1,1.0,270.09,0,1
429,27.0,3,0,1.0,307.0,1,0
430,26.0,0,0,1.0,370.0,1,0
431,59.0,3,1,2.0,397.0,1,0
432,28.0,0,1,2.0,398.0,1,0
433,55.0,3,1,2.0,221.0,1,0
434,61.0,1,1,0.0,291.0,1,0
435,54.0,2,0,0.0,265.0,1,0
436,46.0,3,1,2.0,377.0,1,0
437,30.0,2,0,1.0,126.0,0,1
438,63.0,0,0,0.0,291.0,1,0
439,34.0,3,0,1.0,220.0,1,0
440,54.0,1,1,2.0,208.0,0,1
441,26.0,0,1,1.0,261.0,1,0
442,38.0,3,0,1.0,179.0,0,1
443,56.0,0,0,1.0,360.0,1,0
444,41.0,2,0,1.0,330.0,1,0
445,26.0,1,0,1.0,401.0,1,0
446,34.0,0,0,2.0,227.0,1,0
447,38.0,3,1,2.0,205.0,0,1
448,26.0,2,0,0.0,366.0,1,0
449,25.0,3,0,2.0,347.0,1,0
450,53.0,0,0,2.0,448.0,1,0
451,52.0,1,1,2.0,272.0,1,0
452,24.0,2,1,0.0,365.0,1,0
453,38.0,0,1,2.0,357.0,1,0
454,26.0,2,1,1.0,149.0,0,1
455,62.0,2,0,1.0,233.0,1,0
456,53.0,2,0,1.0,309.0,1,0
457,48.0,3,1,2.0,239.0,1,0
458,58.0,0,1,2.0,324.0,1,0
459,47.0,3,1,1.0,392.0,1,0
460,57.0,2,0,0.0,229.0,1,0
461,63.0,0,1,2.0,218.0,0,1
462,48.0,2,1,2.0,217.0,0,1
463,34.0,0,1,2.0,136.0,0,1
464,33.0,0,1,0.0,157.0,0,1
465,34.0,3,0,2.0,241.0,1,0
466,64.0,3,1,1.0,298.0,1,0
467,33.0,2,0,2.0,168.0,0,1
468,59.0,2,1,1.0,199.0,0,1
469,38.0,3,0,1.0,167.0,0,1
470,40.0,1,0,0.0,298.0,1,0
471,24.0,1,0,0.0,294.0,1,0
472,51.0,0,0,0.0,240.0,1,0
473,28.0,0,0,1.0,279.0,1,0
474,43.0,2,1,0.0,367.0,1,0
475,62.0,2,1,1.0,317.0,1,0
476,43.0,3,0,2.0,434.0,1,0
477,32.0,1,1,0.0,170.0,0,1
478,29.0,0,0,1.0,422.0,1,0
479,37.0,1,0,1.0,166.0,0,1
480,24.0,1,1,2.0,421.0,1,0
481,62.0,1,1,2.0,439.0,1,0
482,56.0,3,0,2.0,259.0,1,0
483,65.0,1,0,2.0,421.0,1,0
484,33.0,0,0,2.0,176.0,0,1
485,64.0,2,1,1.0,371.0,1,0
486,31.0,1,0,1.0,290.0,1,0
487,38.0,1,1,0.0,373.0,1,0
488,44.0,3,1,2.0,239.0,1,0
489,56.0,2,1,2.0,411.0,1,0
490,58.0,3,0,0.0,439.0,1,0
491,40.0,2,1,0.0,329.0,1,0
492,36.0,3,0,0.0,376.0,1,0
493,59.0,2,0,2.0,137.0,0,1
494,34.0,3,1,1.0,271.0,1,0
495,56.0,2,0,1.0,435.0,1,0
496,63.0,0,0,2.0,143.0,0,1
497,38.0,3,1,2.0,210.0,0,1
498,54.0,1,1,0.0,420.0,1,0
499,36.0,3,0,2.0,383.0,1,0
500,58.0,3,0,1.0,291.0,1,0
501,37.0,1,0,1.0,432.0,1,0
502,35.0,1,1,1.0,296.0,1,0
503,43.0,2,1,2.0,315.0,1,0
504,37.0,0,1,2.0,407.0,1,0
505,26.0,3,0,0.0,185.0,0,1
506,40.0,2,1,1.0,152.0,0,1
507,31.0,3,1,0.0,177.0,0,1
508,64.0,0,0,2.0,356.0,1,0
509,64.0,3,0,2.0,238.0,1,0
510,65.0,0,0,0.0,241.0,1,0
511,45.0,2,0,0.0,359.0,1,0
512,57.0,0,1,0.0,177.0,0,1
513,52.0,2,1,2.0,312.0,1,0
514,38.0,3,0,1.0,150.0,0,1
515,27.0,0,1,2.0,139.0,0,1
516,49.0,2,1,2.0,215.0,0,1
517,29.0,0,0,0.0,325.0,1,0
518,26.0,0,0,2.0,223.0,1,0
519,52.0,1,1,1.0,181.0,0,1
520,41.0,1,0,0.0,307.0,1,0
521,64.0,2,0,2.0,423.0,1,0
522,36.0,2,0,2.0,348.0,1,0
523,28.0,1,0,0.0,166.0,0,1
524,57.0,3,0,2.0,261.0,1,0
525,62.0,0,1,1.0,325.0,1,0
526,59.0,1,0,1.0,232.0,1,0
527,53.0,0,0,1.0,336.0,1,0
528,47.0,0,0,2.0,135.0,0,1
529,61.0,0,0,2.0,403.0,1,0
530,58.0,2,1,0.0,140.0,0,1
531,39.0,1,0,1.0,297.0,1,0
532,50.0,0,1,2.0,326.0,1,0
533,43.0,3,0,2.0,188.0,0,1
534,42.0,1,1,2.0,354.0,1,0
535,59.0,1,0,0.0,365.0,1,0
536,28.0,1,1,0.0,270.09,0,1
537,43.0,2,0,1.0,331.0,1,0
538,63.0,3,0,0.0,139.0,0,1
539,64.0,3,1,2.0,225.0,1,0
540,53.0,3,0,0.0,404.0,1,0
541,59.0,2,0,0.0,371.0,1,0
542,44.0,2,1,1.0,331.0,1,0
543,41.0,1,0,2.0,161.0,0,1
544,30.0,3,1,1.0,239.0,1,0
545,25.0,0,0,1.0,373.0,1,0
546,60.0,1,0,2.0,127.0,0,1
547,38.0,0,0,0.0,187.0,0,1
548,54.0,2,1,1.0,366.0,1,0
549,36.0,2,0,0.0,365.0,1,0
550,54.0,3,0,1.0,270.09,0,1
551,62.0,3,1,0.0,300.0,1,0
552,38.0,1,1,2.0,220.0,1,0
553,64.0,3,1,0.0,446.0,1,0
554,51.0,2,0,0.0,429.0,1,0
555,39.0,3,0,1.0,371.0,1,0
556,56.0,2,1,0.0,435.0,1,0
557,45.0,1,1,1.0,311.0,1,0
558,49.0,1,1,1.0,410.0,1,0
559,55.0,0,0,1.0,357.0,1,0
560,51.0,2,0,2.0,316.0,1,0
561,60.0,0,0,1.0,250.0,1,0
562,42.0,2,1,2.0,180.0,0,1
563,46.0,0,1,0.0,140.0,0,1
564,54.0,1,0,0.0,268.0,1,0
565,29.0,2,1,2.0,292.0,1,0
566,64.0,1,1,2.0,386.0,1,0
567,63.0,2,0,1.0,374.0,1,0
568,30.0,0,1,2.0,446.0,1,0
569,53.0,1,1,0.0,162.0,0,1
570,63.0,1,0,2.0,382.0,1,0
571,35.0,0,0,2.0,234.0,1,0
572,53.0,1,0,2.0,274.0,1,0
573,61.0,2,0,1.0,270.09,0,1
574,39.0,1,0,1.0,242.0,1,0
575,37.0,1,1,1.0,323.0,1,0
576,26.0,2,0,0.0,316.0,1,0
577,36.0,2,0,0.0,372.0,1,0
578,55.0,3,0,2.0,340.0,1,0
579,47.0,3,1,0.0,392.0,1,0
580,58.0,1,1,0.0,275.0,1,0
581,50.0,3,0,2.0,421.0,1,0
582,48.0,3,0,2.0,189.0,0,1
583,33.0,3,0,2.0,418.0,1,0
584,42.0,3,0,2.0,426.0,1,0
585,49.0,2,0,1.0,272.0,1,0
586,55.0,0,0,2.0,287.0,1,0
587,30.0,1,1,1.0,147.0,0,1
588,37.0,0,1,0.0,392.0,1,0
589,34.0,2,1,0.0,208.0,0,1
590,45.0,2,1,2.0,344.0,1,0
591,34.0,3,1,1.0,445.0,1,0
592,34.0,2,1,1.0,221.0,1,0
593,43.0,3,0,2.0,213.0,0,1
594,50.0,2,0,2.0,356.0,1,0
595,64.0,1,0,2.0,158.0,0,1
596,54.0,3,1,1.0,386.0,1,0
597,61.0,3,0,1.0,248.0,1,0
598,59.0,0,0,2.0,158.0,0,1
599,35.0,3,0,1.0,213.0,0,1
600,32.0,2,1,2.0,133.0,0,1
601,49.0,0,1,1.0,326.0,1,0
602,48.0,2,0,1.0,207.0,0,1
603,37.0,1,0,2.0,396.0,1,0
604,51.0,2,1,2.0,371.0,1,0
605,59.0,2,0,2.0,185.0,0,1
606,48.0,0,0,2.0,320.0,1,0
607,53.0,1,0,1.0,348.0,1,0
608,63.0,0,0,1.0,168.0,0,1
609,65.0,0,1,0.0,201.0,0,1
610,56.0,3,1,1.0,245.0,1,0
611,41.0,1,1,1.0,154.0,0,1
612,43.0,3,1,1.0,207.0,0,1
613,56.0,0,1,2.0,151.0,0,1
614,57.0,3,1,1.0,213.0,0,1
615,60.0,2,0,0.0,271.0,1,0
616,30.0,2,0,1.0,372.0,1,0
617,58.0,0,1,2.0,398.0,1,0
618,40.0,1,1,1.0,151.0,0,1
619,48.0,3,1,0.0,288.0,1,0
620,36.0,2,1,0.0,275.0,1,0
621,40.0,2,1,0.0,292.0,1,0
622,35.0,0,0,2.0,294.0,1,0
623,53.0,3,1,1.0,350.0,1,0
624,47.0,1,0,2.0,443.0,1,0
625,48.0,0,0,2.0,145.0,0,1
626,26.0,1,0,1.0,429.0,1,0
627,42.0,1,0,2.0,192.0,0,1
628,52.0,3,0,0.0,359.0,1,0
629,56.0,2,0,1.0,178.0,0,1
630,53.0,1,0,2.0,233.0,1,0
631,32.0,0,0,1.0,445.0,1,0
